date,close
2025.4.15,56600
2025.4.16,54700
2025.4.17,55100
2025.4.18,55300
2025.4.21,55400
2025.4.22,55000
2025.4.23,55700
2025.4.24,55700
2025.4.25,55700
2025.4.28,55800
2025.4.29,55800
2025.4.30,55500
2025.5.2,54300
2025.5.7,54600
2025.5.8,54600
2025.5.9,54800
2025.5.12,57600
2025.5.13,56900
2025.5.14,57400
2025.5.15,57300
2025.5.16,56800
2025.5.19,55800
2025.5.20,55900
2025.5.21,55700
2025.5.22,54700
2025.5.23,54200
2025.5.26,54700
2025.5.27,53900
2025.5.28,55900
2025.5.29,56100
2025.5.30,56200
2025.6.2,56800
2025.6.4,57800
2025.6.5,59100
2025.6.9,59800
2025.6.10,59200
2025.6.11,59900
2025.6.12,59500
2025.6.13,58300
2025.6.16,57200
2025.6.17,58100
2025.6.18,59800
2025.6.19,59200
2025.6.20,59500
2025.6.23,58000
2025.6.24,60500
2025.6.25,61300
2025.6.26,60200
2025.6.27,60800
2025.6.30,59800
2025.7.1,60200
2025.7.2,60800
2025.7.3,63800
2025.7.4,63300
2025.7.7,61700
2025.7.8,61400
2025.7.9,60400
2025.7.10,61000
2025.7.11,62600
2025.7.14,62500
2025.7.15,63700
2025.7.16,64700
2025.7.17,66700
2025.7.18,67100
2025.7.21,67800
2025.7.22,66000
2025.7.23,66400
2025.7.24,66000
2025.7.25,65900
2025.7.28,70400
2025.7.29,70600
2025.7.30,72600
2025.7.31,71400
2025.8.1,68900
2025.8.4,69700
2025.8.5,69900
2025.8.6,68800
2025.8.7,70500
2025.8.8,71800
2025.8.11,71000
2025.8.12,71100
2025.8.13,71900
2025.8.14,71600
2025.8.18,70000
2025.8.19,70000
2025.8.20,70500
2025.8.21,70600
2025.8.22,71400
2025.8.25,71500
2025.8.26,70300
2025.8.27,70600
2025.8.28,69600
2025.8.29,69700
2025.9.1,67600
2025.9.2,69100
2025.9.3,69800
2025.9.4,70100
2025.9.5,69500
2025.9.8,70100
2025.9.9,71500
